answer,count,count,count,count,count
Interpreter,1.0,,,,
Steve Harvey,1.0,,,1.0,
a duo,1.0,,1.0,,
(Jimmy) Carter,1.0,2.0,1.0,1.0,
Gulfstream,1.0,,,1.0,1.0
put your foot in your mouth,1.0,,,,
a disco ball,1.0,,,,
the <i>Bee</i>,1.0,,,,1.0
recipes,1.0,,,,1.0
Freddy vs. Jason,1.0,,,,
Mark,1.0,4.0,2.0,1.0,2.0
the Age of Aquarius,1.0,1.0,,,
77,1.0,,1.0,,
largemouth and smallmouth bass,1.0,,,,
bray,1.0,,,,
Saint Patrick's Day,1.0,,,,
a tutor,1.0,,1.0,,
lobbying,1.0,,,,
1960,1.0,,2.0,2.0,2.0
the Tonkin,1.0,,,,
the Lost Generation,1.0,1.0,,1.0,2.0
an altercation,1.0,,,,
a mortgage,1.0,,,1.0,
a beeline,1.0,1.0,,,
Cast Away,1.0,1.0,1.0,2.0,
the (Green Bay) Packers,1.0,,,,
Goofy,1.0,1.0,,,
microloans,1.0,,,,
a novella,1.0,,,1.0,
apostle,1.0,1.0,,,
"""Viva La Vida""",1.0,,,1.0,
the Whigs,1.0,4.0,4.0,3.0,5.0
the Great Lakes region,1.0,,,,
Liquid Paper,1.0,1.0,1.0,,
a bobby,1.0,2.0,,,
hot flashes,1.0,,,,
an underscore,1.0,,,,
Bozo & boo,1.0,,,,
DC,1.0,2.0,,1.0,
a BB gun,1.0,,,,
"""Batman""",1.0,,,,
flew,1.0,,,,
Star Wars Episode VII,1.0,,,,
the Bake-Off,1.0,,,,
ravens,1.0,3.0,,,
a javelin,1.0,4.0,,,
Terminator,1.0,,,1.0,
a spring roll,1.0,,,,
Jimmy Carter and Ashton Carter,1.0,,,,
a slip,1.0,,,,
an interrogator,1.0,,,,
Athens & Sparta,1.0,,,,
the military,1.0,,,,
Hollywood Squares,1.0,1.0,1.0,1.0,
San José,1.0,,1.0,1.0,1.0
Lincoln's assassination,1.0,,,,
a cleat,1.0,,1.0,1.0,
gangsta,1.0,,,,
Madeleine L'Engle,1.0,,1.0,1.0,2.0
a monarch butterfly,1.0,,1.0,,
stats,1.0,,,,
a clock or watch,1.0,,,,
a birther,1.0,,,,
David and Goliath,1.0,,,,
steam power,1.0,,,,
the chuck wagon,1.0,,,,
a dramedy,1.0,,,,
postcards,1.0,2.0,3.0,,
Havanairobi,1.0,,,,
Harry Potter and the Goblet of Fire,1.0,,,,
ascent,1.0,,,,
a light (a spotlight),1.0,,,,
(Peter Paul) Rubens,1.0,3.0,1.0,,2.0
Croatia,1.0,4.0,4.0,8.0,5.0
an axle,1.0,,1.0,,
Hustle,1.0,,,1.0,
Joe Biden & James Brown,1.0,,,,
the Ritz,1.0,,2.0,,
a nap (in Annapolis),1.0,,,,
gasses,1.0,,,,1.0
Doctor Octopus,1.0,,,,
worthy,1.0,,,,
grafting,1.0,1.0,,4.0,1.0
Quarantine,1.0,,,,
a cathedral,1.0,,,1.0,
blank check,1.0,,,,
Candy Crush,1.0,,1.0,,
automatic transmission,1.0,,,,
It's a Small World,1.0,,,,
Arrow,1.0,,2.0,2.0,2.0
Manderley,1.0,1.0,,2.0,3.0
a five o'clock shadow,1.0,,,,
administrative,1.0,,,,
a splinter,1.0,,,,
a lapel,1.0,,,,
congestion,1.0,,,1.0,
Wings</i> r,1.0,,,,
May 1st,1.0,,1.0,,
the king's horses and king's men,1.0,,,,
Zinfandel,1.0,2.0,1.0,1.0,
1216,1.0,,,,
(<i>Monty Python's</i>) <i>Flying Circus</i>,1.0,,,,
the (Ford) Mustang,1.0,,,,
a sinner,1.0,,,,
a wedge,1.0,1.0,1.0,3.0,
"""Pop Goes The Weasel""",1.0,,,,
a figurine,1.0,,,,
Derek Jeter,1.0,,,,
hash browns,1.0,,1.0,,
diving duck,1.0,,,,
ragtag,1.0,,,,
Gilligan's Island,1.0,,,,2.0
a philosopher-king,1.0,,,,
the Green Giant,1.0,1.0,,,
the White Nile,1.0,,,,
unlisted,1.0,,,,
Chicago Med,1.0,1.0,,,
a slate (or blackboard),1.0,,,,
collage,1.0,3.0,,,
the USS <i>Arizona</i>,1.0,1.0,1.0,,
slush,1.0,,,,
healthy and wealthy,1.0,,,,
the America's Cup,1.0,1.0,3.0,,
cryptography,1.0,,,,
the E.U. (the European Union),1.0,,,,
(Sean) Penn,1.0,,1.0,,
a detour,1.0,,,,
electrolysis,1.0,2.0,,2.0,
the <i>Early Bird</i>,1.0,,,,
moth-eaten,1.0,,,,
the <i>Red October</i>,1.0,,,,
tarpaulin,1.0,1.0,,,
accounts receivable,1.0,,,,
Lost in Translation,1.0,,2.0,2.0,
the Garden Isle,1.0,1.0,,,
glowworms,1.0,,,,
jointly,1.0,,,,
a Grinch,1.0,,1.0,,
a northern pike,1.0,,,,
Secret Service entrance,1.0,,,,
your hands,1.0,,,,
Megyn Kelly,1.0,,1.0,,1.0
a scooter,1.0,1.0,,,
a dermatologist,1.0,,,,
November 11th,1.0,,1.0,1.0,
la dolce vita,1.0,1.0,,,
Minions,1.0,1.0,,,
type,1.0,,,,
(Ray) Bradbury,1.0,,1.0,1.0,1.0
the esophagus,1.0,5.0,4.0,1.0,1.0
Evita Peron (or Eva Peron),1.0,,,,
personal identification number,1.0,1.0,,,
Montevideo,1.0,5.0,5.0,3.0,2.0
Prince George,1.0,,,,
a cliffhanger,1.0,,,,
a tabloid,1.0,,,1.0,
a porthole,1.0,,,,
Nathan Detroit,1.0,,,,
Chuck Hagel,1.0,,,,
through,1.0,,,,
Butterfingers,1.0,,,,
Walton,1.0,,,,
the Heartbreakers,1.0,,,,
the panda,1.0,,,,
Floyd Mayweather,1.0,,,,1.0
Melissa McCarthy,1.0,,1.0,,
Jeremy Piven,1.0,,,,1.0
"""I'm A Dole Man""",1.0,,,,
an air conditioner,1.0,,1.0,,
the money,1.0,,,,
"""The Anvil Chorus""",1.0,,,,
a passage,1.0,,,1.0,
Starbuck's,1.0,,,,
amplify,1.0,,,1.0,
a Deutsche Mark,1.0,,,,
back (from Outback),1.0,,,,
orange juice & champagne,1.0,,,,
Fuhrer,1.0,,,,
manta,1.0,,,,
The Last Samurai,1.0,,1.0,,
John Adams & Tom Jefferson,1.0,,,,
home runs,1.0,,,,
middleweight,1.0,1.0,,,
pain,1.0,,2.0,,
the Supreme Court of the United States,1.0,,,,
Jason Bourne,1.0,,,,
(Grover) Cleveland,1.0,,2.0,3.0,4.0
a bayonet,1.0,2.0,,,
a dark shark mark,1.0,,,,
Castile,1.0,1.0,2.0,,
J.A.G.,1.0,1.0,,,
(Stephen) Stills,1.0,,,,
an eon,1.0,,,2.0,3.0
an antidote (an anti-toxin accepted),1.0,,,,
an armoire,1.0,1.0,,2.0,
pinball,1.0,,,,
spread eagle,1.0,,,,
Call of Duty,1.0,,,,
bongos,1.0,1.0,1.0,,
the Koch brothers,1.0,1.0,,,
a rock-climbing wall,1.0,,,,
a kink,1.0,,,,1.0
Halo,1.0,,1.0,2.0,1.0
four score and seven (87),1.0,,,,
(Bill) O'Reilly,1.0,,,,
(NBA) coach,1.0,,,,
alligators,1.0,,,,1.0
a marinade,1.0,,,,
(Doc) Holliday,1.0,,,,
a baptism,1.0,,,,
a hide,1.0,,,,
Clemson,1.0,,1.0,,
nudists,1.0,,,,
whey,1.0,,,1.0,
Shel Silverstein,1.0,1.0,2.0,2.0,2.0
umpire,1.0,1.0,1.0,1.0,
Roadrunner,1.0,,,,
vice,1.0,2.0,,,
a noose and a nose,1.0,,,,
a consonant,1.0,1.0,,,
M-E-D-I-T-E-R-R-A-N-E-A-N,1.0,,,,
1927,1.0,2.0,1.0,2.0,
an ensign,1.0,,1.0,,1.0
(Buffalo) Bill Cody,1.0,,,,
saint,1.0,,1.0,,1.0
Tweety Bird,1.0,,,,
curious,1.0,1.0,1.0,,
Peace Prize (or peace congresses),1.0,,,,
fins,1.0,1.0,,,
Kevin Bacon,1.0,,3.0,2.0,
light-years,1.0,,,,1.0
simultaneous,1.0,,,,
a clamp,1.0,,,,
seldom,1.0,,,,
a hamlet,1.0,2.0,,,1.0
Wes Craven,1.0,,,2.0,
a cod,1.0,1.0,,,
pediatrics,1.0,1.0,,,
eye contact,1.0,,,,
the rearview mirror,1.0,,,,
"""Rhapsody In Blue""",1.0,1.0,,1.0,
femme fatale,1.0,,,,
a vulture,1.0,,2.0,2.0,
slave trade,1.0,,,,
zero hour,1.0,,1.0,,
rush (week),1.0,,,,
Sol,1.0,1.0,1.0,1.0,
(Virginia) Johnson,1.0,,,,
procrastinate,1.0,1.0,1.0,,
a coach,1.0,,,,
U-boats,1.0,1.0,,2.0,
as soon as possible,1.0,,,,
Homicide,1.0,1.0,1.0,1.0,
Britannica,1.0,,,,
a borrower,1.0,,,,
the LPGA,1.0,,1.0,,
Westworld,1.0,,1.0,1.0,1.0
(Martha) Stewart,1.0,,,,
a convert,1.0,,,,
a bird dog,1.0,,,,
red meat,1.0,,,,
betrayers,1.0,,,,
Roses Are Red,1.0,,,,
French West Africa,1.0,,,,
sapiens,1.0,,,1.0,
a brownie,1.0,,,,
Quidditch,1.0,1.0,,,
(Cecil B.) DeMille,1.0,,,,
a France glance,1.0,,,,
a chair,1.0,3.0,1.0,,1.0
the byline,1.0,,,,
blue collar,1.0,,,1.0,
downstage,1.0,,,1.0,
learning,1.0,,,,1.0
the Bible (the New Testamanet accepted),1.0,,,,
Istanbul wool,1.0,,,,
artificial insemination,1.0,,,2.0,
treat & tread,1.0,,,,
a genie,1.0,,,,
construction paper,1.0,,,,
indigestion,1.0,,,1.0,
all rise,1.0,,,,
(J.D.) Salinger,1.0,1.0,,2.0,
(Mount) Everest,1.0,,,,
the Edgars,1.0,,,,
a scallop,1.0,,,1.0,1.0
a degree,1.0,,,1.0,
the Green Goblin,1.0,,1.0,,
the Boston Marathon bombing,1.0,,,,
blue in the face,1.0,,,,
etymology,1.0,1.0,2.0,3.0,1.0
the (Chicago) Bears,1.0,1.0,,,
Felix & Oscar,1.0,,,,
magnify,1.0,,,,
driving,1.0,1.0,,,
"chocolate, vanilla and strawberry",1.0,,,,
a bar graph,1.0,1.0,,,
Lady Bird,1.0,2.0,1.0,,1.0
buckeyes,1.0,,,,
Me and Earl and the Dying Girl,1.0,,,,
Stuart Little Dipper,1.0,,,,
Gemini sigh,1.0,,,,
desegregate,1.0,,,,
star witness (or key witness),1.0,,,,
figuratively,1.0,,1.0,,1.0
(University of) Michigan,1.0,1.0,,1.0,
singers,1.0,,,,
the Genie,1.0,1.0,,,
the Westminster Dog Show,1.0,,,,
43%,1.0,,,,
Sideshow Bob,1.0,,,1.0,
a beau,1.0,,1.0,,1.0
Paulie,1.0,,,,
Argentina & Chile,1.0,,1.0,,1.0
pry,1.0,,,,
Doctors Without Borders,1.0,2.0,2.0,,
"""I Believe I Can Fly""",1.0,,1.0,,
the Ancient Mariner,1.0,1.0,,1.0,
the Winter Palace for the Romanovs,1.0,,,,
mislabel,1.0,,,,
camel's hair,1.0,,,,
ringside,1.0,,,,
the Todds,1.0,,,,
goalposts,1.0,,,,
Angler,1.0,,,,
(Richard) Rodgers,1.0,1.0,,2.0,1.0
the Seventh-day Adventists,1.0,1.0,,1.0,
the inn,1.0,,,,
his utility belt,1.0,,,,
a demographic,1.0,,,,
the drummer,1.0,,,,
chain mail,1.0,1.0,,1.0,
Rupert Grint,1.0,,,,
to brown bag,1.0,,1.0,,
provolone Ranger,1.0,,,,
a suffragette,1.0,,,,
me,1.0,,,,
Adam Smith,1.0,5.0,8.0,9.0,9.0
dividends,1.0,,2.0,,
Boswell,1.0,4.0,3.0,,
U.S. Marines,1.0,,,,
Two Gentlemen of Verona,1.0,,1.0,3.0,7.0
Chameleon,1.0,,,1.0,
a squeal,1.0,,,,
the Fire of London,1.0,,,,
the beaver,1.0,4.0,,2.0,
grime,1.0,,,,
Ice & Fire,1.0,,,,
Manila Bay,1.0,3.0,3.0,2.0,
monotonous,1.0,1.0,,2.0,
(Vladimir) Nabokov,1.0,1.0,2.0,2.0,
white collar,1.0,1.0,,,
meditation,1.0,,,1.0,1.0
(John D.) Rockefeller,1.0,2.0,1.0,2.0,
to sunbathe,1.0,,,,
the Speaker,1.0,,,,
perfumes (a scent accepted),1.0,,,,
(Ben) Franklin,1.0,1.0,,,
a skateboard,1.0,,,,
"""Let It Be""",1.0,,,,
a mob,1.0,,,1.0,
noh,1.0,,1.0,,1.0
Shankar,1.0,,,,
a nip,1.0,,,,
Masterpiece,1.0,,,,
Grammys,1.0,,,1.0,
ruffle,1.0,,,,1.0
valid,1.0,,,,
cross-eyed,1.0,1.0,,,1.0
(Gerald) Ford,1.0,,2.0,,2.0
The Ring,1.0,,2.0,,
doe & shoe,1.0,,,,
Ghost,1.0,3.0,,1.0,2.0
pirouette,1.0,,,1.0,
great-nephew,1.0,,,,
the DAR (Daughters of the American Revolution),1.0,,,,
Peter Abélard,1.0,,,,
fingers (or hands),1.0,,,,
Hellenic,1.0,,,,
Budget,1.0,,,,
Samuel L. Jackson,1.0,4.0,4.0,,1.0
monochromatic,1.0,1.0,,,1.0
"""Don't mess with Texas""",1.0,,,,
can (in Vul<b>can</b>),1.0,,,,
thank you,1.0,,,1.0,
chaplains,1.0,,,,
free throw percentage,1.0,,,,
donors,1.0,,,,
brussels sprouts,1.0,,,,
Psy,1.0,1.0,1.0,,
serial killer,1.0,,,,1.0
George Sand,1.0,1.0,9.0,13.0,13.0
desert dessert,1.0,,,,
al fresco,1.0,,,2.0,
A Doll's House</i> & <i>Hedda Gabler,1.0,,,,
the G,1.0,,,1.0,
deduction,1.0,1.0,,,
a toxin,1.0,,1.0,,
anarchists,1.0,1.0,,,
the line,1.0,,,,
the Amazon rainforest,1.0,,,,
a model,1.0,,,,
dance and dunce,1.0,,,,
like or as,1.0,,,,1.0
"""Smells Like Teen Spirit""",1.0,,,,
Judges,1.0,,2.0,2.0,4.0
costume jewelry,1.0,,,,
nouveau,1.0,2.0,,,
OutKast,1.0,1.0,2.0,3.0,
Chianti,1.0,1.0,2.0,1.0,1.0
h (in chord),1.0,,,,
criminology,1.0,,,1.0,
a dollar coin (a silver dollar accepted),1.0,,,,
Purgatory,1.0,,1.0,,1.0
"Locke, stock & barrel",1.0,,,,
Triceratops,1.0,2.0,,1.0,
a brainstorming session,1.0,,,,
Jenner,1.0,,,2.0,1.0
the Schumanns,1.0,,,,
What Happens in Vegas,1.0,,,,
"alternate [""ALL-tur-nut""/""ALL-tur-nate""]",1.0,,,,
swearing-in,1.0,,,,
circumnavigate the globe,1.0,,,,
Polaris,1.0,1.0,2.0,1.0,2.0
a workaholic,1.0,1.0,1.0,,
a clean green bean,1.0,,,,
Millipede,1.0,,,,
Jean Claude Van <i>Damn Yankees</i>,1.0,,,,
The Avengers,1.0,,1.0,1.0,
good and food,1.0,,,,
a kiwi,1.0,1.0,,2.0,
The Da Vinci Code,1.0,5.0,1.0,1.0,
the Alabama,1.0,,,,1.0
conservative,1.0,,,,
volcanic eruptions,1.0,1.0,,,
a llama,1.0,1.0,3.0,1.0,
the law,1.0,,,,
better half,1.0,,,,
Greenwich Village (or the West Village),1.0,,,,
Wooster,1.0,,,,1.0
(Rod) Stewart,1.0,,,,
the Czech Republic & Slovakia,1.0,,,,
caboodle,1.0,,1.0,,
Zero Dark Thirty,1.0,,,1.0,1.0
Roswell,1.0,,2.0,2.0,
(Sepp) Blatter,1.0,,,,
(George) Washington,1.0,1.0,,1.0,
Scarlett Johansson,1.0,1.0,,,2.0
a tablet,1.0,1.0,1.0,,
the 5-second rule,1.0,,,,
"""The Turtle and the Hare""",1.0,,,,
One Day at a Time,1.0,2.0,2.0,2.0,1.0
the celebrated jumping frog of Calaveras County,1.0,,,,
(Frank) Capra,1.0,,,,
spaying & neutering,1.0,,1.0,,
Nickleby,1.0,,,,
Hot Lips,1.0,,1.0,,
a lobbyist,1.0,,,,1.0
colors,1.0,1.0,3.0,,
"""Where are you?""",1.0,,,,
the pH,1.0,,,,
a bookend,1.0,,,,
the Kennedy Space Center,1.0,,,,
a quill or pen,1.0,,,,
tropic,1.0,,,,
a swimsuit,1.0,,,,
A.C. (alternating current),1.0,,,,
a burn,1.0,,,,
(Louis) Armstrong,1.0,,,,
under the table,1.0,,,,
the fetal position,1.0,,,,
Syracuse,1.0,2.0,3.0,1.0,3.0
an application,1.0,,,,
a hotline,1.0,,,,
Billy Bob Thornton,1.0,1.0,3.0,2.0,1.0
the white flag,1.0,1.0,,,
Gloria Estefan,1.0,5.0,1.0,,
Amy Adams,1.0,1.0,1.0,1.0,2.0
the Swiss Guard,1.0,1.0,2.0,5.0,
spokesperson,1.0,,1.0,,
a pitchfork,1.0,1.0,1.0,,
cut a rug,1.0,,,,
the Little House on the Prairie,1.0,,,,
funnels,1.0,,,,
faults,1.0,2.0,,1.0,
Giants,1.0,,,,1.0
Whistler's Mother,1.0,,,1.0,1.0
F & F (in gu<b>ff</b>aw),1.0,,,,
coniferous,1.0,,,1.0,
John Marshall,1.0,6.0,1.0,7.0,6.0
Scott Walker,1.0,,,2.0,
know-how,1.0,,,,
dew,1.0,2.0,1.0,,
husky,1.0,,,,
Ike Turner,1.0,,1.0,,
Tater Tots,1.0,,,,
potential energy,1.0,,,,1.0
Redcoat,1.0,,,,
producer,1.0,,,,
38,1.0,,,,
at the twilight's last gleaming,1.0,,,,
the hammer,1.0,1.0,1.0,,1.0
Aristotle (Socrates) Onassis,1.0,,,,
Chanel & channel,1.0,,,,
a learner's permit,1.0,,,,
keys,1.0,1.0,,1.0,
Gumby,1.0,,,,
chalets,1.0,,,,
a harpoon,1.0,1.0,,,
Boy Wonder,1.0,,,,
chives,1.0,2.0,1.0,,
the crayons,1.0,,,,
(Dr. Louis) Perrier,1.0,,,,
whoa,1.0,,,,
a root,1.0,1.0,,1.0,
bighorn,1.0,,,,
Fifty Shades of Grey</i>,1.0,,,,
kelp,1.0,6.0,1.0,2.0,
Benedict Arnold Palmer,1.0,,,,
Anne,1.0,3.0,3.0,2.0,6.0
ignite,1.0,,1.0,,
Norman,1.0,1.0,1.0,,
melatonin,1.0,,,2.0,3.0
the collar,1.0,1.0,,,
tomorrow,1.0,,1.0,,
the wrong side of the tracks,1.0,,,,
the Golden Arches,1.0,,,,
La Cage aux Folles,1.0,1.0,3.0,1.0,4.0
Haydn's Poseidons,1.0,,,,
Bernie Sanders,1.0,2.0,,2.0,1.0
flesh,1.0,,,,1.0
brine shrimp,1.0,,,,
ape & apex,1.0,,,,
the pulp,1.0,1.0,2.0,,
the Anglican Church,1.0,,,1.0,
balanced,1.0,,,,
"""Purple Rain""",1.0,1.0,,1.0,
to dissuade,1.0,,,,
"""Piano Man""",1.0,,2.0,,
hoarding,1.0,,1.0,,
agnostics,1.0,,,,
"""Que Sera, Sera""",1.0,,1.0,,
a cab,1.0,,,,
the Roma (or Gypsies),1.0,,,,
Iceman,1.0,,1.0,1.0,
Judge Judy,1.0,4.0,2.0,,
mongrel,1.0,,1.0,,
allegiance,1.0,,,,
Ipanema,1.0,,1.0,1.0,1.0
"""Dancing Queen""",1.0,2.0,,1.0,
Isolde,1.0,4.0,2.0,1.0,
Tomorrowland,1.0,,1.0,1.0,
brown cow,1.0,,,,
a glee club sandwich,1.0,,,,
the Virginia Military Institute,1.0,,,,
the Hogwarts Express,1.0,,,,
GDP growth,1.0,,,,
carbonation,1.0,1.0,,,
lieu,1.0,1.0,2.0,,
throwback Thursday,1.0,,,,
Trainor,1.0,,,,
The Heidi Chronicles,1.0,3.0,,1.0,1.0
speed limit,1.0,,,1.0,
gullible,1.0,2.0,,,
Iowa City,1.0,,,,
a ration,1.0,,,,
a pant,1.0,,,,
the Pittsburgh Steelers,1.0,,,1.0,1.0
E.L. James,1.0,,,,
Dr. J (or Julius Erving),1.0,,,,
ice ages,1.0,2.0,,,
appropriate,1.0,,,1.0,1.0
York and Lancaster,1.0,,,,
NWA,1.0,,,,
never,1.0,2.0,1.0,,1.0
hairdo,1.0,,,,
a Balloon,1.0,,,,
territorial,1.0,,1.0,1.0,1.0
drop a dime,1.0,,,,
Long Beach,1.0,,,,
Pac-Man,1.0,2.0,1.0,,
a round-robin,1.0,,,,
Timbuktu,1.0,1.0,3.0,12.0,11.0
Birdman,1.0,,1.0,1.0,
retirement,1.0,,1.0,,
Fred Astaire and Ginger Rogers,1.0,,,,
a peahen,1.0,,,,
"""Ring Of Fire""",1.0,,1.0,,
1849,1.0,1.0,,,
Age of Innocence,1.0,,,,
hamstrings,1.0,1.0,1.0,,
Buddy Rich,1.0,1.0,,3.0,
steep,1.0,,1.0,,
involuntary,1.0,,2.0,,
an ace,1.0,,,,
The Mall of the Wild,1.0,,,,
a militia,1.0,1.0,,1.0,
the 1860s,1.0,1.0,,,
Teller,1.0,3.0,1.0,,
deadly,1.0,,,,
the biceps,1.0,,1.0,1.0,
Minnie (Mouse),1.0,,,,
the salt mines,1.0,,,,
congruent,1.0,1.0,,1.0,2.0
hepatitis A,1.0,,,,
(Gayle) King,1.0,,,,
Eddie Van Halen,1.0,,2.0,,
create (or invent),1.0,,,,
slash & splash,1.0,,,,
a stingray,1.0,,1.0,,
milk & honey,1.0,,1.0,,
Alan Harper,1.0,,1.0,,
spoke,1.0,,,,
a bottle rocket,1.0,,,1.0,
Forest Whitaker,1.0,2.0,,2.0,1.0
a darkroom,1.0,,,,
butter pecan,1.0,,,,
a VHS system,1.0,,,,
a mannequin,1.0,,2.0,,1.0
heatstroke,1.0,,,,
"""Satisfaction""",1.0,2.0,,1.0,
Democratic Republic of Congo,1.0,,,,
spoiled,1.0,,,,
a brigade,1.0,,,1.0,
the Geneva Conventions,1.0,,1.0,,
One Direction,1.0,2.0,,,
a republic,1.0,1.0,3.0,,
Hippie,1.0,,,,
pulmonary,1.0,1.0,,2.0,1.0
Raul Castro,1.0,,,,
gynecology,1.0,1.0,,,
the Warren Commission,1.0,1.0,,3.0,
playboy,1.0,,,,
"""Roar""",1.0,,,,
marathons,1.0,,,,
the daffodil,1.0,1.0,3.0,,
academic,1.0,,,1.0,
High Water,1.0,,,,
tolerance,1.0,,1.0,,
(Stephen) Douglas,1.0,6.0,2.0,1.0,1.0
"""Shake It Off""",1.0,,,1.0,
a tumbleweed,1.0,,,,
a staring contest,1.0,,,,
Fantasy Island,1.0,2.0,1.0,1.0,
Blanche DuBois,1.0,4.0,4.0,1.0,1.0
Kelvin,1.0,3.0,,5.0,2.0
jails,1.0,,,,
cruel,1.0,1.0,1.0,,
"""Route 66""",1.0,,,,
Supreme Court jester,1.0,,,,
Camilla Parker Bowles,1.0,1.0,1.0,,
feminists,1.0,,,,
irrational numbers,1.0,,,,
curb appeal,1.0,1.0,,,
married,1.0,1.0,,,
a crew/krewe,1.0,,,,
a hothouse,1.0,,,,
a broken record,1.0,,,,
Literacy,1.0,,,,
landscape,1.0,1.0,1.0,3.0,
PepsiCo,1.0,2.0,,,
showbiz,1.0,,,,
dragon wagon,1.0,,,,
the potato famine,1.0,1.0,2.0,,
an infantryman,1.0,,,,
cameramen,1.0,,,,
Johnny's cash,1.0,,,,
Mom & Dad,1.0,,,,
a dialogue,1.0,1.0,,,
a charger,1.0,,,1.0,
-lithic,1.0,,,,
Are You Smarter Than a 5th Grader?,1.0,,,,
a workhorse,1.0,,,,
bench & bunch,1.0,,,,
Hacky Sack,1.0,,,,
"""Material Girl"" (or ""Angel"" or ""Dress You Up"")",1.0,,,,
Bridge over the River Kwai</i> (or <i>Bridge on the River Kwai<,1.0,,,,
paints,1.0,,,,
"""Just say no""",1.0,,,,
calorie,1.0,,,,
unmanned,1.0,,,,1.0
a menagerie,1.0,,,,
Nuremberg,1.0,8.0,,1.0,3.0
a woolly mammoth,1.0,,,1.0,
lynching,1.0,1.0,,,
Aramis,1.0,1.0,1.0,,
Michael Jordan Peele,1.0,,,,
obesity,1.0,1.0,,,
the dam,1.0,,,,
a caption,1.0,,,,
"past, present, future",1.0,,,,
Pride & Prejudice,1.0,1.0,,,
"""Song of Myself""",1.0,2.0,1.0,1.0,5.0
facade,1.0,,,,
(Frank) Chance,1.0,,,,
Kermit (the Frog),1.0,,,,
the peanut gallery,1.0,,,,
ration,1.0,,,,
pizzicato,1.0,2.0,1.0,,5.0
ovaries,1.0,3.0,,1.0,
435,1.0,,3.0,,
Incredibles 2,1.0,,,,
a control tower,1.0,,,,
Billboard,1.0,1.0,1.0,,
sloth,1.0,2.0,,,2.0
"the ""Dog Whisperer""",1.0,,,,
the black widow,1.0,1.0,,,
the Second (Persian) Gulf War,1.0,,,,
cosmopolitan,1.0,,,1.0,1.0
a grid,1.0,1.0,,1.0,
delete,1.0,,,,
right or wrong,1.0,,,,
hippie-dippie,1.0,,,,
"""Reunited""",1.0,,,1.0,
mainly,1.0,,,,
Jury Duty,1.0,,,,
Pebbles,1.0,,,,
(Benazir) Bhutto,1.0,,2.0,4.0,1.0
parlor,1.0,,,,
Earth & heart,1.0,,,,
flavor of the month,1.0,1.0,,,
a leek,1.0,,2.0,1.0,1.0
Paddington,1.0,1.0,2.0,,
a brewer,1.0,,,,
(Anne) Rice,1.0,,1.0,,
tea & coffee,1.0,,,,
a Taser,1.0,,,,
lifts,1.0,,,,
Let my people go,1.0,,,1.0,
"""Bang Bang""",1.0,,1.0,,
Mr. Clean,1.0,1.0,,,1.0
a newlywed,1.0,,,,
the media,1.0,,,,
legalese,1.0,,,,
5:00 shadow,1.0,,,,
masterpiece,1.0,,,,
a pedicure,1.0,,,,
NC State,1.0,,,,
I.O.U.,1.0,,,,
primary (or elementary),1.0,,,,
seaweed (or algae),1.0,,,,
folk,1.0,,,,
heavy metal,1.0,1.0,1.0,,
Peggy Sue,1.0,1.0,,,
a doctor,1.0,2.0,1.0,,
Le Morte d'Arthur,1.0,,1.0,1.0,3.0
a black belt,1.0,,,,
The Civil War,1.0,,,,
Victor,1.0,1.0,,1.0,1.0
drool,1.0,,,,
a snow angel,1.0,1.0,,,
57,1.0,,,1.0,
Corvette,1.0,,,,
disbar,1.0,,,,
the Rich and Famous,1.0,,,,
cocoa beans,1.0,1.0,,,1.0
(Sir Thomas) More,1.0,,,1.0,
Nepal & China,1.0,,,1.0,
the Confederate Memorial Day,1.0,,,,
scarecrow,1.0,1.0,,,
oral,1.0,,1.0,1.0,
the Tube (or the subway),1.0,,,,
a doubloon,1.0,,1.0,,
incinerate,1.0,,1.0,,
ash,1.0,2.0,2.0,1.0,1.0
"""When Irish Eyes Are Smiling""",1.0,1.0,,1.0,
azure,1.0,1.0,1.0,2.0,1.0
Jackie Kennedy Onassis,1.0,,,1.0,
phone,1.0,,,,
the Flash,1.0,1.0,,,
the Boers,1.0,3.0,1.0,1.0,
the cat o' nine tails,1.0,,,,
Unbroken,1.0,,2.0,2.0,
remarks,1.0,,,,
housebroken,1.0,,,,
eclipses,1.0,1.0,1.0,,
Fifty Shades of Grey,1.0,,,1.0,
Clean Air Act,1.0,,1.0,,
"""Jump Around""",1.0,,,,1.0
Keats,1.0,5.0,6.0,10.0,5.0
Blues Brothers,1.0,,,,
the Rhodes,1.0,,,,
composing & conducting,1.0,,,,
obedient,1.0,1.0,,,
(Elizabeth) Warren,1.0,,,1.0,
Veep,1.0,1.0,1.0,2.0,1.0
a manger,1.0,2.0,,,
T'Challa,1.0,,,,
shift,1.0,,,,
Blitzkrieg,1.0,,,,1.0
The Truman Show,1.0,,2.0,,
a plain,1.0,,,,
Los Alamos,1.0,3.0,1.0,3.0,3.0
a gala,1.0,,,,
caesarean section,1.0,,,,1.0
snooker,1.0,,1.0,,1.0
five o'clock shadow,1.0,,,,
ante,1.0,,1.0,,
(Mahatma) Gandhi,1.0,1.0,,2.0,2.0
the (Chicago) Bulls,1.0,,,,
Grandparents Day,1.0,,,,
love handles,1.0,1.0,1.0,,
Wand,1.0,,,,
